HUC12,TOHUC,comment
090203160905,090203160906,circular
031300130600,OCEAN,circular
100500080502,100500080504,circular
100500010301,100500010302,circular
101900180706,102001010305,Major route error
030201040502,030102050803,current routing follows man-made waterbody?
160300070308,160300070307,Strange delineation of 160300070309
080500030503,080500030504,"better follow river path, could also redelineate to fix"
101701030209,101701030210,Shouldn't be CLOSED BASIN
